Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate?,Sample Name,SRA Study,create_date,version
SRR6456165,WGS,300,6432906900,PRJNA429097,SAMN08335044,Metagenome or environmental,2439841269,"WHEALTHGENE CO., LTD.",2016-08-10,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546953,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02503,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 129,K0000113,SRP128485,2018-01-10T00:29:00Z,1
SRR6456166,WGS,300,6632080500,PRJNA429097,SAMN08335045,Metagenome or environmental,2503329666,"WHEALTHGENE CO., LTD.",2016-08-11,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546952,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02504,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 130,K0000114,SRP128485,2018-01-09T23:51:00Z,1
SRR6456167,WGS,300,6328050900,PRJNA429097,SAMN08335046,Metagenome or environmental,2674713380,"WHEALTHGENE CO., LTD.",2016-08-17,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546951,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME06047,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 131,K0000115,SRP128485,2018-01-09T23:53:00Z,1
SRR6456168,WGS,300,7010818800,PRJNA429097,SAMN08335047,Metagenome or environmental,2903384199,"WHEALTHGENE CO., LTD.",2016-08-10,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546950,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME06048,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 132,K0000116,SRP128485,2018-01-09T23:53:00Z,1
SRR6456169,WGS,300,6494923800,PRJNA429097,SAMN08335048,Metagenome or environmental,2663237650,"WHEALTHGENE CO., LTD.",2016-08-17,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546949,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME06049,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 133,K0000117,SRP128485,2018-01-09T23:54:00Z,1
SRR6456170,WGS,300,6267439500,PRJNA429097,SAMN08335049,Metagenome or environmental,2621969205,"WHEALTHGENE CO., LTD.",2016-08-10,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546948,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME06050,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 134,K0000118,SRP128485,2018-01-09T23:52:00Z,1
SRR6456171,WGS,300,5643493200,PRJNA429097,SAMN08335050,Metagenome or environmental,2323672994,"WHEALTHGENE CO., LTD.",2016-08-26,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546947,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME06051,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 135,K0000119,SRP128485,2018-01-09T23:51:00Z,1
SRR6456172,WGS,300,5965015200,PRJNA429097,SAMN08335051,Metagenome or environmental,2473270819,"WHEALTHGENE CO., LTD.",2016-09-14,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546946,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME06052,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 136,K0000121,SRP128485,2018-01-09T23:58:00Z,1
SRR6456173,WGS,300,7023063600,PRJNA429097,SAMN08335041,Metagenome or environmental,2689374487,"WHEALTHGENE CO., LTD.",2016-07-20,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546945,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02500,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 126,K0000110,SRP128485,2018-01-09T23:58:00Z,1
SRR6456174,WGS,300,6779810400,PRJNA429097,SAMN08335040,Metagenome or environmental,2569709214,"WHEALTHGENE CO., LTD.",2016-07-20,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546944,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02499,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 125,K0000109,SRP128485,2018-01-09T23:54:00Z,1
