Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,reads_tax,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR15647931,WGS,199,4226488535,PRJNA758208,SAMN21015643,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1726872244,REALBIO,2017,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",Human gut,gut microbiome,stool,SRX11945005,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0411,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0411clean,2021-09-02T00:00:00Z,2021-08-27T08:14:00Z,1,LZ-0411,SRP334399
SRR15647932,WGS,199,6281272081,PRJNA758208,SAMN21015642,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2509483511,REALBIO,2017,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Human gut,gut microbiome,stool,SRX11945004,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0397,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0397clean,2021-09-02T00:00:00Z,2021-08-27T08:11:00Z,1,LZ-0397,SRP334399
SRR15647933,WGS,199,5958647311,PRJNA758208,SAMN21015641,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2334633399,REALBIO,2017,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Human gut,gut microbiome,stool,SRX11945003,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0369,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0369clean,2021-09-02T00:00:00Z,2021-08-27T08:14:00Z,1,LZ-0369,SRP334399
SRR15647934,WGS,199,6305059747,PRJNA758208,SAMN21015640,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2457672536,REALBIO,2017,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",Human gut,gut microbiome,stool,SRX11945002,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0364,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0364clean,2021-09-02T00:00:00Z,2021-08-27T08:20:00Z,1,LZ-0364,SRP334399
SRR15647935,WGS,199,7059097903,PRJNA758208,SAMN21015639,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2760095468,REALBIO,2017,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",Human gut,gut microbiome,stool,SRX11945001,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0362,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0362clean,2021-09-02T00:00:00Z,2021-08-27T08:15:00Z,1,LZ-0362,SRP334399
SRR15647936,WGS,199,7967642937,PRJNA758208,SAMN21015638,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3115412409,REALBIO,2017,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX11945000,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0353,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0353clean,2021-09-02T00:00:00Z,2021-08-27T08:15:00Z,1,LZ-0353,SRP334399
SRR15647937,WGS,199,5060903279,PRJNA758208,SAMN21015637,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2032416855,REALBIO,2017,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",Human gut,gut microbiome,stool,SRX11944999,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0338,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0338clean,2021-09-02T00:00:00Z,2021-08-27T08:14:00Z,1,LZ-0338,SRP334399
SRR15647938,WGS,199,7034041203,PRJNA758208,SAMN21015636,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2773984708,REALBIO,2017,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",Human gut,gut microbiome,stool,SRX11944998,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0302,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0302clean,2021-09-02T00:00:00Z,2021-08-27T08:18:00Z,1,LZ-0302,SRP334399
SRR15647939,WGS,199,5536068552,PRJNA758208,SAMN21015635,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2132375377,REALBIO,2017,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX11944997,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0266,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0266clean,2021-09-02T00:00:00Z,2021-08-27T08:14:00Z,1,LZ-0266,SRP334399
SRR15647940,WGS,199,3711323975,PRJNA758208,SAMN21015634,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1445915745,REALBIO,2017,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Human gut,gut microbiome,stool,SRX11944996,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0224,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0224clean,2021-09-02T00:00:00Z,2021-08-27T08:12:00Z,1,LZ-0224,SRP334399
