Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR22133955,WGS,285,5852755147,PRJNA896336,SAMN31542372,Metagenome or environmental,1915147339,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX18113467,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 21 E,Normal_19,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:11:00Z,1,Normal_19,SRP405731
SRR22133956,WGS,288,5937528526,PRJNA896336,SAMN31542371,Metagenome or environmental,1939013445,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX18113466,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 20 E,Normal_18,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:09:00Z,1,Normal_18,SRP405731
SRR22133957,WGS,256,5888837802,PRJNA896336,SAMN31542370,Metagenome or environmental,1880614364,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX18113465,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 19 E,Normal_17,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:07:00Z,1,Normal_17,SRP405731
SRR22133958,WGS,270,6288379979,PRJNA896336,SAMN31542369,Metagenome or environmental,2025330103,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX18113464,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 18 E,Normal_16,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:07:00Z,1,Normal_16,SRP405731
SRR22133959,WGS,263,5991365996,PRJNA896336,SAMN31542368,Metagenome or environmental,1926480533,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX18113463,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 17 E,Normal_15,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:07:00Z,1,Normal_15,SRP405731
SRR22133960,WGS,273,5084135419,PRJNA896336,SAMN31542367,Metagenome or environmental,1647375068,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX18113462,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 16 E,Normal_14,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:05:00Z,1,Normal_14,SRP405731
SRR22133961,WGS,279,8469164189,PRJNA896336,SAMN31542366,Metagenome or environmental,2771732972,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX18113461,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 15 E,Normal_13,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:10:00Z,1,Normal_13,SRP405731
SRR22133962,WGS,272,4885877494,PRJNA896336,SAMN31542365,Metagenome or environmental,1585391674,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX18113460,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 14 E,Normal_12,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:07:00Z,1,Normal_12,SRP405731
SRR22133963,WGS,274,6451329062,PRJNA896336,SAMN31542364,Metagenome or environmental,2077813390,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX18113459,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 13 E,Normal_11,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:07:00Z,1,Normal_11,SRP405731
SRR22133964,WGS,273,5212200854,PRJNA896336,SAMN31542355,Metagenome or environmental,1699658545,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX18113458,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 4 E,Normal_02,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:08:00Z,1,Normal_02,SRP405731
SRR22133965,WGS,264,6237789866,PRJNA896336,SAMN31542354,Metagenome or environmental,2016194510,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX18113457,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 3 E,Normal_01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:11:00Z,1,Normal_01,SRP405731
