Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR22135628,WGS,300,6293579100,PRJNA893406,SAMN31422149,Metagenome or environmental,2342779524,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-10-15,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX18115270,China,Asia,China: Changsha,Homo_sapiens215,Illumina NovaSeq 6000,feces215,28.19 N 112.99 E,DM151,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:21:00Z,1,DM151,SRP405751
SRR22135629,WGS,300,5911589400,PRJNA893406,SAMN31422148,Metagenome or environmental,1950057813,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-10-15,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX18115269,China,Asia,China: Changsha,Homo_sapiens214,Illumina NovaSeq 6000,feces214,28.19 N 112.99 E,DM150,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:10:00Z,1,DM150,SRP405751
SRR22135630,WGS,300,5572458000,PRJNA893406,SAMN31422147,Metagenome or environmental,1835702891,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-10-15,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX18115268,China,Asia,China: Changsha,Homo_sapiens213,Illumina NovaSeq 6000,feces213,28.19 N 112.99 E,DM149,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:11:00Z,1,DM149,SRP405751
SRR22135631,WGS,300,5498863200,PRJNA893406,SAMN31422146,Metagenome or environmental,1816530195,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-10-15,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX18115267,China,Asia,China: Changsha,Homo_sapiens212,Illumina NovaSeq 6000,feces212,28.19 N 112.99 E,DM148,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:13:00Z,1,DM148,SRP405751
SRR22135632,WGS,300,5759321400,PRJNA893406,SAMN31422145,Metagenome or environmental,1924113943,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-30,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX18115266,China,Asia,China: Changsha,Homo_sapiens211,Illumina NovaSeq 6000,feces211,28.19 N 112.99 E,DM147,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:07:00Z,1,DM147,SRP405751
SRR22135633,WGS,300,5249798100,PRJNA893406,SAMN31421956,Metagenome or environmental,1914443543,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2021-09-18,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX18115265,China,Asia,China: Changsha,Homo_sapiens22,Illumina NovaSeq 6000,feces22,28.19 N 112.99 E,H22,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:11:00Z,1,H22,SRP405751
SRR22135634,WGS,300,5647985100,PRJNA893406,SAMN31422144,Metagenome or environmental,1813955012,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-28,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX18115264,China,Asia,China: Changsha,Homo_sapiens210,Illumina NovaSeq 6000,feces210,28.19 N 112.99 E,DM146,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:08:00Z,1,DM146,SRP405751
SRR22135635,WGS,300,5594066400,PRJNA893406,SAMN31422143,Metagenome or environmental,1840319300,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-19,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX18115263,China,Asia,China: Changsha,Homo_sapiens209,Illumina NovaSeq 6000,feces209,28.19 N 112.99 E,DM145,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:07:00Z,1,DM145,SRP405751
SRR22135636,WGS,300,5925657600,PRJNA893406,SAMN31422142,Metagenome or environmental,2192439283,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-19,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18115262,China,Asia,China: Changsha,Homo_sapiens208,Illumina NovaSeq 6000,feces208,28.19 N 112.99 E,DM144,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:08:00Z,1,DM144,SRP405751
SRR22135637,WGS,300,5420382000,PRJNA893406,SAMN31422141,Metagenome or environmental,1729501322,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-19,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX18115261,China,Asia,China: Changsha,Homo_sapiens207,Illumina NovaSeq 6000,feces207,28.19 N 112.99 E,DM143,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:09:00Z,1,DM143,SRP405751
