Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR13336855,WGS,299,13511233092,PRJNA688881,SAMN17190388,Metagenome or environmental,5427012495,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9763633,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB006PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:59:00Z,1,MGHB006PB,MGHB006PB,SRP299890
SRR13336856,WGS,299,8066854004,PRJNA688881,SAMN17190405,Metagenome or environmental,3223396682,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9763632,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB051PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:55:00Z,1,MGHB051PB,MGHB051PB,SRP299890
SRR13336857,WGS,299,10658321422,PRJNA688881,SAMN17190404,Metagenome or environmental,4165018210,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX9763631,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB047PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:50:00Z,1,MGHB047PB,MGHB047PB,SRP299890
SRR13336858,WGS,299,8002130934,PRJNA688881,SAMN17190403,Metagenome or environmental,3177546136,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9763630,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB045PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T10:04:00Z,1,MGHB045PB,MGHB045PB,SRP299890
SRR13336859,WGS,299,9321627198,PRJNA688881,SAMN17190401,Metagenome or environmental,3732992219,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX9763628,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB039PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:47:00Z,1,MGHB039PB,MGHB039PB,SRP299890
SRR13336860,WGS,299,8675004328,PRJNA688881,SAMN17190400,Metagenome or environmental,3431651493,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX9763627,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB038PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T10:04:00Z,1,MGHB038PB,MGHB038PB,SRP299890
SRR13336861,WGS,299,8783760646,PRJNA688881,SAMN17190399,Metagenome or environmental,3512698238,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX9763626,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB036PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:49:00Z,1,MGHB036PB,MGHB036PB,SRP299890
SRR13336862,WGS,299,9580701201,PRJNA688881,SAMN17190402,Metagenome or environmental,3797693171,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9763629,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB040PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:52:00Z,1,MGHB040PB,MGHB040PB,SRP299890
SRR13336863,WGS,298,12921269538,PRJNA688881,SAMN17190508,Metagenome or environmental,4699120422,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9763625,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB164PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T10:02:00Z,1,MGHB164PB,MGHB164PB,SRP299890
SRR13336864,WGS,299,9198654596,PRJNA688881,SAMN17190507,Metagenome or environmental,3786956071,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9763624,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB163PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:48:00Z,1,MGHB163PB,MGHB163PB,SRP299890
